threshold_prob_alfabetizado,accuracy,balanced_accuracy,precision_class_0_risk,recall_class_0_risk,f1_class_0_risk,precision_class_1_literate,recall_class_1_literate,f1_class_1_literate,specificity_for_class_1,true_risk_predicted_literate,true_risk_predicted_literate_share_of_true_risk,true_risk_predicted_literate_share_of_validation,false_risk_alerts_literate_predicted_risk,confusion_matrix_true_rows_predicted_columns_0_1
0.3,0.6033378326976999,0.5005869107125097,0.7553648068669528,0.0014920438457430125,0.0029782049546500607,0.6032185038706939,0.9996817775792765,0.7524192904535197,0.0014920438457430125,117783,0.998507956154257,0.3964702991460184,57,"[[176, 117783], [57, 179063]]"
0.35,0.6125340397672,0.5151820068282785,0.6999018370495022,0.04231131155740554,0.07979854504756576,0.6103853104694635,0.9880527020991514,0.7546027441650252,0.04231131155740554,112968,0.9576886884425945,0.3802624891022253,2140,"[[4991, 112968], [2140, 176980]]"
0.4,0.6217201485126852,0.5328327393675718,0.6527428008321472,0.10107749302723827,0.17504863277665628,0.6196877477018647,0.9645879857079053,0.7545951045240242,0.10107749302723827,106036,0.8989225069727618,0.3569286284119712,6343,"[[11923, 106036], [6343, 172777]]"
0.45,0.6307244874259036,0.550819039927958,0.6370033524745246,0.16269212183894405,0.25918722904258334,0.6300158830051844,0.9389459580169719,0.7540666080812066,0.16269212183894405,98768,0.837307878161056,0.3324637554320568,10936,"[[19191, 98768], [10936, 168184]]"
0.5,0.6367801157267932,0.5723071567860417,0.5984103989663678,0.25914088793563866,0.3616637383829958,0.6447477001752054,0.8854734256364448,0.7461757586734946,0.25914088793563866,87391,0.7408591120643614,0.29416754465983797,20514,"[[30568, 87391], [20514, 158606]]"
0.55,0.6319800457117467,0.5890944119808913,0.5531241533876807,0.38078484897294823,0.4510531468882585,0.661643651591445,0.7974039749888343,0.7232077530487883,0.38078484897294823,73042,0.6192151510270518,0.24586726089693314,36289,"[[44917, 73042], [36289, 142831]]"
0.6,0.5596524830095698,0.5901188412682705,0.465615992213529,0.7381039174628473,0.5710181997048697,0.7193790422207689,0.4421337650736936,0.5476681142983597,0.7381039174628473,30893,0.26189608253715274,0.1039891745966561,99925,"[[87066, 30893], [99925, 79195]]"
0.65,0.5432157776214408,0.5882508154001594,0.4573771909594096,0.807000737544401,0.5838503221532904,0.7440613371406729,0.36950089325591784,0.4937870937177091,0.807000737544401,22766,0.19299926245559898,0.07663281484049697,112935,"[[95193, 22766], [112935, 66185]]"
0.7,0.4968543720693822,0.566548754704291,0.4356939099490285,0.9050771878364516,0.588223626576455,0.7848385857033051,0.22802032157213042,0.3533742862086866,0.9050771878364516,11197,0.09492281216354835,0.03769031133132938,138277,"[[106762, 11197], [138277, 40843]]"
